Name;Date;Amount;Category;Notes
Tom Schmitt;4-28-2023;7620,62;Health;Apud summa curvo omnis nesciunt voco.
Mr. Randolph Beatty;31/5/2023;8642,47;Food;Venio cado dicta voluptatum tyrannus in carus carpo.
Domingo O'Conner II;5-25-2023;2099.15;Office;Conforto cubicularis pecto vaco suscipio una.
debbie blick;23/5/2023; 5992,90 ; Other ;CATENA UT VULGO ADIPISCI VILICUS ADEMPTIO VORAX TEXO UREDO VOLUNTARIUS.
Mr. Jeremy Weissnat;19/10/2023;9751.96;Food;Carmen cetera vesper.
Deborah Von;2023-07-14;252.20;Other;claustrum ex alius valeo contego nisi bos tempus.
  natalie blick  ;3-2-2023;8593.66;Health;Tracto sint ex conturbo angulus cimentarius.
MR. REGINALD METZ SR.;9-5-2023;7907.52; food ;Cetera talis talus decet adversus color tamisium sint adamo ascit.
Kirk Ullrich;1/7/2023;5472.06;Other; Aestus qui virtus creator arbitro denuo. 
Mrs. Leona Crist;12-21-2023;8666,76;Office; ambitus tabesco esse delectus xiphias adflicto dapifer tepesco thymbra. 
Blanche Heaney;2023-03-04;9894.30;Other;Tergum consequatur accusator thorax valeo virgo accusator ascisco.
CANDACE EFFERTZ;6-16-2023;9078,22; Travel ; Verumtamen debitis thesaurus cattus. 
Nellie Sipes;2023-11-04;8670,10; office ; Acsi tabernus caelum. 
KIM D'AMORE;15/3/2023; 3546,99 ;Office;Apud celebrer cura balbus.
LORETTA CORWIN;4/3/2023; 9464.74 ;Travel;similique antepono deleniti.
Darren Hirthe;2/8/2023;1593.73;Other;Vacuus caritas conventus alius tam apto suppono votum.
  ALEXANDRA MULLER  ;12/9/2023;7163,15;Office;Amo statua adipiscor caecus cras tamisium patrocinor auctor.
BILLIE DOYLE;12-28-2023;1330.44;Office; Vespillo approbo cumque substantia deprimo conservo exercitationem depereo cuius assentator. 
Sherry Cummings;21/11/2023;1823,75; Office ;SUFFRAGIUM TERROR CLAUSTRUM.
  Natalie Batz  ;7-26-2023;29,07;Other;VOX CURRUS CLARO DEFERO CIBUS CATERVA PORRO ASPER.
Margie Bergstrom;3-14-2023;6064,36;OTHER;Verecundia damno terror thymum concedo tibi sum voveo.
Dana Davis III;12-23-2023; 5816,48 ;Other; Tristis crustulum absum copiose teres ara depopulo conventus sponte trans. 
KRISTIE CORMIER MD;15/7/2023; 7462,12 ;Other;Cerno caecus cunctatio caelum benevolentia.
  Darlene Leannon  ;5-9-2023;7588,55;Travel;Solus enim socius studio.
  Cathy Bernier  ;1/6/2023;7215.72;Travel; VESTIGIUM UT SUBNECTO PAX. 
  Claire Gottlieb  ;1-27-2023; 1208,30 ;OFFICE; utrimque sollers quis blanditiis vis sodalitas. 
Amber Stracke;2023-11-19; 3700.35 ; Food ; Aestivus asper alius tamisium sursum. 
constance schaden;9-7-2023; 9195.49 ;Other;Ustilo subvenio degenero vos vitae alias verto.
  Bertha Koss-Lynch  ;6-30-2023;9757,08;TRAVEL;Complectus tutis rerum cognomen.
ollie beatty;9-4-2023;77.47;other;Tametsi complectus tabesco nesciunt ducimus vilitas sint tenetur ascisco.
Dr. Gertrude Sipes;12/2/2023;2073,71;OTHER;creber adicio solio torrens.
Jeffrey Herman;8-19-2023;4125.41; Office ;Spargo caritas apud dolore una cilicium accedo aiunt viduo amita.
Dr. Duane Kuvalis;7-2-2023; 154,64 ;OTHER; Ea corona aetas tabgo taedium terra delicate. 
  Gerard Bergstrom  ;9-17-2023;7107.46; Travel ; Ambulo socius demoror vilicus adinventitias. 
roberta schimmel;1-15-2023;4323,11;TRAVEL;Crebro tamquam depono.
Jane Kemmer;2023-12-04; 460.67 ;health;Beatae admitto abstergo totus turbo vobis conatus.
Luis Ferry;6-9-2023;6964.30;Travel;Speciosus textilis accedo cogito aufero.
allan nienow;2023-01-21;9493.07; Food ;Arbustum averto corpus adstringo sophismata.
MANUEL ABBOTT V;12-3-2023;7268,16;Office;Demoror truculenter coruscus averto varietas.
  Otis Connelly  ;10/2/2023; 6827.06 ; Health ;sol perferendis desparatus censura vitium bellum.
  jim lynch  ;3/11/2023;1811.25;Health;Corona tremo coepi tergum suus.
  Luis Koepp  ;8-22-2023;7248.37;HEALTH; Modi stultus tabella verbera creo. 
Alfonso Hilll;23/2/2023;5259.32;Office;Provident cribro tero.
Geoffrey Goyette;2023-08-31;3677.73;Food;ARCESSO BARDUS SPONTE NOSTRUM ADMONEO VOLUP TERGA SAPIENTE.
Alfredo Crona;15/7/2023;5825,97;HEALTH;auxilium hic quasi sum crinis paens sponte.
Johanna Dach;17/2/2023;3066.52;FOOD;caritas thesis natus contabesco.
delbert hagenes-hermann;2023-02-10;2211,93;Other;nostrum illum atrox curia labore terminatio talus nemo eius virtus.
  Dr. Troy Ebert  ;2023-05-04;5198,71;HEALTH;Timidus voco utrum cognatus.
bryant emmerich;2023-10-04;9970,58;Office;Magnam constans alo cumque.
Pedro Kozey;2/11/2023;7752.04; Other ;Inventore creator tutis.
Mrs. Guadalupe Upton;1-19-2023;9863.21;Other;Facilis voluptatem curto totus.
  Jeff Rogahn  ;25/4/2023;4441,45;Health;Vilitas beatae tunc desipio odio.
  dr. jeremiah bergnaum  ;2023-07-27;7883.81;other; TANDEM VENTOSUS VOLUPTATE APPONO. 
shari weimann md;2023-03-29;6441.87;Travel; Capitulus adopto bestia corroboro audeo doloribus fugit. 
  Craig Marks  ;12/4/2023;4012.18;office;ultra tepesco crastinus.
  Dr. Manuel Kulas DDS  ;2023-03-26;953.38;Office;Corroboro ipsa adsuesco.
clara casper iii;3-15-2023;8345.39;Travel;Demonstro auctor cornu conservo vulgus tabgo ait vinculum terminatio canto.
Gilbert Beer;5-29-2023;254.48;Health;ABSUM TABGO PEL UMERUS SOLUM APERTE DELUDO TERGIVERSATIO EX APERIO.
Alejandro McDermott;1-9-2023;7251,58;Office;AMICULUM CONCULCO VITAE VIRGO ARANEA CUPIO.
  Dr. Jeremiah Treutel V  ;11-22-2023; 3258.02 ;Office;Annus accusantium antea uberrime argumentum celebrer spectaculum cubicularis urbanus amo.
Brittany Hirthe;2023-12-20;4463.92;travel;Aeneus conservo tondeo carmen recusandae.
  blanca huels  ;22/8/2023;7543.39;travel;cenaculum cohibeo terga cuius vulpes vinco admoneo.
EDMOND JERDE;2023-11-28;9328.15;FOOD;Neque atrox optio culpo defetiscor aptus amplitudo eius apud asperiores.
  dana kuhic  ;3-11-2023;3278.39;Office;Thesis patria cupiditate adduco valetudo curvo dicta consuasor.
cary robel;12-23-2023;9827,41;office; Quaerat decet ustilo illum voluptas. 
BRYAN HAMILL;7/11/2023;9578.15;Travel;Rerum consectetur nam.
Dixie Heller;10-3-2023; 9296,11 ; Other ; Sponte timor magnam adflicto magni delinquo demoror angustus adflicto conor. 
Dr. Alvin Donnelly;4-6-2023; 1548,74 ;Travel;Teneo super sustineo architecto patior.
Boyd Ullrich;5-4-2023;6381.45;TRAVEL;CONTABESCO ET DEMONSTRO URBS BONUS TEMPORIBUS.
  Philip Lockman  ;2023-07-03;4268.09;food; Absconditus conservo ab conservo considero conicio tergeo. 
austin torp;2023-12-22;8744.42; travel ; TRES SUPER UTILIS DELUDO CORREPTIUS DEFAECO SUCCEDO DEFLUO VIA ADIUVO. 
KRISTEN MRAZ PHD;30/9/2023;5464,86;other;vulgo sopor vehemens tonsor thermae bene vesco quae.
Mrs. Jamie Labadie;10-30-2023; 2183.77 ;OFFICE;Virgo numquam vilis.
Amos Macejkovic;27/5/2023;7939.82;Health;Vitiosus summa strenuus victoria arx defluo.
  KIMBERLY GUTKOWSKI  ;8-12-2023;9977,85; Health ; Caput absens pauper tertius rem arceo unde arx taedium deinde. 
KATHY KEMMER;2023-06-11;9372.07;Office;Theca infit tametsi tremo arca defetiscor adicio spes crinis.
Lloyd Turner;12-18-2023;5317.89;Health;MOLESTIAE TAMEN DECUMBO ASSENTATOR.
  Courtney McCullough  ;2023-05-16;770,71; HEALTH ;quam viduo sordeo attonbitus esse.
  Delores Satterfield  ;5-15-2023;8507.96;office; ANIMUS INFIT URBS STUDIO BALBUS CRETA CAPILLUS TRAHO SODALITAS TENUIS. 
  Hilda Grant  ;18/5/2023;4327.10;Other;Basium tyrannus attero omnis alius desidero vociferor aequus vesco.
  Roxanne Bahringer  ;14/4/2023;3923.46;HEALTH;Odit cattus tredecim coniecto trepide tabula.
Dr. Vera Corkery;25/2/2023;3389.32;OFFICE; Abstergo studio adhaero avaritia praesentium aveho aliquam. 
  Mr. Ramiro Murphy  ;11-1-2023;4407.54;Other;ut absum vero veritatis bene.
erin blanda;2023-06-04;9825,44;TRAVEL;AT AVEHO APTUS MAXIME EXPLICABO.
Wilbert Schultz;2023-11-01;4622.03;Travel;Cilicium solio capio comburo amor vacuus atrocitas velociter.
Sonia Morar;2023-12-06;9081.26;FOOD;censura iusto careo solum consequuntur centum ocer.
Lora Larkin;2023-10-18; 532.59 ;Food;Varietas utrimque curvo umerus tripudio consuasor culpo turpis degero.
FREDA WARD;2023-08-03;3654,71;Health;Ademptio accommodo cupiditas libero statim et.
  DR. LORENZO KUNDE  ;23/8/2023; 3689,96 ;Health; Truculenter vos illum temptatio esse articulus. 
Lola Klocko;23/7/2023; 8465,64 ;Other;utilis brevis cultellus dignissimos patruus trepide arcesso caute tyrannus.
SCOTT WINDLER;17/11/2023;8124.90;Health;BENEFICIUM UBERRIME CALLIDE APERTE SIMILIQUE DIGNISSIMOS CUR.
Brett Fahey;4-8-2023;8479.89;food; Acceptus voluptatem ulterius blanditiis. 
Gretchen Kris-Mitchell;1-31-2023;221,55;Office;Quae depereo texo carmen comptus admitto curto laborum.
cecil braun;13/8/2023; 4652.62 ;OTHER;Tepidus ultra occaecati.
Sophia Ratke;4/12/2023;637,33;office;animadverto vulnus caritas aliqua saepe odio.
Tommie Olson MD;5-13-2023;1230.88; Travel ;ulciscor tandem cultura.
Erika Mayer;11-7-2023;2896.92; TRAVEL ;ACERVUS QUIS ARGUO VELUM VETUS CONSUASOR COLO PAUCI.
ROBERT WAELCHI;27/11/2023;5423.14;TRAVEL;Caecus saepe velut crudelis truculenter.
Bruce Weimann;2023-03-26;9182.25;Other;Varietas curso blandior venustas callide solio verus.
Charlene Ferry;11-1-2023;592.13;Food;CIVITAS PROVIDENT CUPRESSUS ADMIRATIO ADIMPLEO CUNCTATIO AGER.
james klein;2023-08-15;7334.16;food; Conspergo curo compello venustas celebrer curso. 
bryant greenholt;6/6/2023; 1905.06 ;Travel; RATIONE CONSEQUATUR TURBA. 
Dwayne Terry;2023-09-28;2019.67;office;capillus tyrannus tabernus sophismata adversus ullus pauper.
Bradford McKenzie;8-6-2023;2093,40;travel; Demoror compono debilito charisma eveniet beatus ter totidem. 
ruby padberg;8/3/2023;3514.64;Other;suffragium vorax quos supellex stips solum.
Dr. Cesar Heaney;10-17-2023;2611,36; TRAVEL ;Aureus advenio expedita aranea alter exercitationem venio.
shelia hoeger;9/2/2023;8825.94; food ;Auxilium statim vetus sollers ademptio speciosus atavus verecundia perspiciatis arma.
SHERI STOLTENBERG;24/2/2023; 2981.35 ;OTHER;Aegrotatio tolero odit clarus armarium acervus praesentium capio.
Kristopher Shanahan;1/6/2023;1370.63;TRAVEL; Conduco tollo tondeo. 
  RAMONA QUITZON  ;2023-01-28;4825,18;Food;Inflammatio ciminatio tot.
  Elaine Mertz  ;3-8-2023;378.61;Health;Cervus harum deprecator avarus super admoveo tergeo spes aegre.
ms. kellie bartell;17/8/2023; 4433.55 ; Office ;Quia cohors cinis minus atrocitas viduo degero vespillo clarus.
Minnie Cummerata IV;15/5/2023;8908.48;other;sono crapula corroboro.
  Terrence Considine  ;5-18-2023;7774.96; other ;Dolor commodo suffragium vae delectus coerceo velum.
Meghan Schneider;2023-12-24;3302.39; Office ;Voluptas absconditus vitiosus commodi tredecim antea tego sordeo vestigium esse.
robyn durgan;10/9/2023;6766.49;Food;Ultra suffoco tamisium voluptate.
LARRY HOPPE;2023-01-04;1550.84;Office;ADMINISTRATIO CADO IUSTO CONSIDERO ADMOVEO CANIS CUPPEDIA A DESOLO CORRIGO.
Carrie Waters;24/12/2023;2762.79;OFFICE;Cultura abduco arceo appositus summisse ad paulatim venio claudeo.
  DONNIE WILLMS  ;10/12/2023; 94.51 ;Food; VOTUM DEFERO VOLUP CONCIDO ARO ESSE AGGERO IURE. 
  Ms. Raquel Roob  ;10-9-2023;3057.61;TRAVEL;Tenuis cuius cur suppono ut curia.
Irving Greenfelder;2023-10-28;4165,93;Food;sunt velociter thymbra saepe tyrannus pectus.
  Daniel Turcotte  ;3-12-2023;2334.86;Office;Dignissimos callide caelum degusto.
audrey purdy;8-12-2023; 2788,12 ;Health;approbo facere vulgus depono suppono surgo tubineus.
  olive emmerich  ;18/5/2023;4615.03;Travel;clibanus numquam voco tonsor arbustum.
  Molly Stokes  ;2023-05-18;5525,10;Food;Suscipio aedificium trepide carmen et depromo defungo cito sufficio.
Hugo Morissette;2023-01-17;4033,31;other;Assentator labore cornu.
Dr. Celia Kuphal;28/11/2023;634.19;Travel;AUDEO DEINDE CONCIDO APUD VOLUPTATEM CAVEO REPUDIANDAE XIPHIAS CLAUDEO VULGO.
Debra Labadie;10-6-2023;3226,25; Other ;aer aestivus vulariter curriculum.
Marvin Cremin;7-10-2023; 79.76 ;Other;sursum vero voluptate uxor.
  FERNANDO LEGROS  ;5/1/2023; 4510,99 ;other;Titulus canto volo videlicet patior.
KERRY TOY DDS;2023-03-28; 8410.88 ;Other; Video utrimque comptus defero tabella. 
GERARD VON;7/12/2023;6981.97; Food ;DEBITIS SOLVO TERROR APPONO DEGERO TENAX SPONTE TURBO.
  Miss Patti Marvin IV  ;19/11/2023;8770,86;Travel;Patrocinor verecundia corona consectetur velut apud.
Ernesto Casper;1-11-2023; 7186,50 ; Other ; cupio deleniti arcus curo possimus acerbitas deleo vorax aeger adamo. 
Adrienne Gulgowski;2/9/2023;8912,10; FOOD ; AESTIVUS COMPARO STELLA NESCIUNT CRAS DEPEREO DEPEREO TOLLO THESIS ARTIFICIOSE. 
rafael johnston;12-31-2023; 2950.85 ;Travel;Sub cohors virga sufficio nulla decipio volutabrum vaco coerceo cunctatio.
HAZEL STROMAN DVM;2023-10-19;9075.18; Office ;natus suppellex aegrus adsum claustrum confero infit condico.
  George Nicolas  ;16/12/2023;580.59;OTHER;sit conservo quae suggero congregatio venia argentum eius patruus.
Ms. Melanie Ankunding;9-5-2023;3435,71;Health; vobis usque arbor velut curtus astrum caute cetera nobis denuo. 
Sylvia Gutmann;2023-01-05;5739.59;Travel;Demonstro solio corroboro strenuus celer tempora.
Corey Schultz DDS;2023-09-21;460.32; Health ;Sustineo amita unde versus vestrum vulariter.
Leticia Boyer;26/11/2023;316.80;Health; Adsuesco venia stips velum deporto acceptus commemoro. 
Eduardo Daniel;5-21-2023;4036.76;TRAVEL;ADHAERO VITIUM VESCO TENUIS SOLUS STIPS TERSUS.
Karen Abbott;2023-05-09;4832.29;office;curso concido ascisco ago.
tasha pollich;6-6-2023;4448.15;office;Officiis censura bestia.
Mrs. Caroline Bogan;3-29-2023;1221,32;Other;Alienus degenero coadunatio provident defessus sit denego odio tremo aetas.
SHAWNA BERGSTROM;9/11/2023;4661,99;health;Urbanus peccatus quos cerno aptus clam color.
Mamie Lang;5-15-2023;5337.48;Food;Solio combibo sit sumptus blanditiis quis constans doloremque.
miss josefina moore;9-7-2023; 4643.58 ;Food;Caput admitto aut candidus acies xiphias at talus.
DANNY TILLMAN;9-6-2023;2562.60;Travel;Usitas cuius suppono accusator atqui tres demum vespillo enim.
Rosemary Kertzmann I;6-19-2023;8268,59;Food;Excepturi degenero cunctatio crepusculum thorax.
Kathryn Huels;5-22-2023;9957.21;Office;Voveo comprehendo decimus cui tum libero universe crepusculum delicate aggredior.
Larry Gusikowski;2023-12-12;4329.18;health; Dens harum amitto ulterius tribuo super caute vobis tabesco tendo. 
boyd torphy;2023-10-30;237.56;Other; Conatus alii depraedor canonicus crustulum uberrime thymum. 
dwayne smitham;12/11/2023;9676.23;OFFICE; circumvenio ambitus aperio comitatus adimpleo fugit adhaero articulus contra sulum. 
Alberto Schulist;2023-01-21;4718.76;OFFICE;ago umbra crinis pauper.
Cassandra Wilkinson;2023-11-25;9864.64;travel;Balbus bibo suspendo apto.
  Clifford Berge Jr.  ;2023-02-21;605,33; food ;Vereor adficio utrimque vorago vitae terror alii.
Mrs. Angelica Abernathy IV;2023-05-01;8581,09;Travel;Vis deripio depulso.
TERRI JACOBI;6/2/2023;89,73;Food;Cado decretum adflicto cunae tego calco conitor caecus colo libero.
roderick mcglynn;13/8/2023; 1822.38 ;Other;Audentia iste laborum aestus veritatis quae veniam eos chirographum charisma.
CLIFFORD GUSIKOWSKI;11/4/2023;8655.10;Food;verbera pel terror defungo sol.
Alfredo Ankunding;28/8/2023;6663.71;Office; Vitium venustas vespillo pecco decor votum cruentus vulpes valens damnatio. 
  Thelma Hintz  ;19/12/2023;866,45; Office ;Taedium cariosus praesentium.
ms. jessie bergnaum dds;9/5/2023; 9902.41 ;Health;Viriliter corpus tero convoco ipsa solus traho tamen umquam.
Darrell Ritchie V;2023-01-14;3086.70;Other;vis terebro auditor.
bradford hilpert;3-14-2023;4089.16;Travel;Complectus peccatus vaco amiculum cattus similique verus adsuesco spoliatio.
Mindy Erdman;4-27-2023; 3815.60 ;FOOD;AMPLEXUS DERELINQUO ATROCITAS QUO UNA ACCUSANTIUM BONUS.
Joanne Ferry;2023-04-10;5429,56;Travel;attonbitus voveo aedificium accusator verto adaugeo carpo ancilla.
Mr. Nathan Kassulke;13/12/2023; 2876,77 ; Other ;Decipio in ventosus veritatis sum arx.
Nicolas Halvorson;5-2-2023;9170,87;Other;Conicio aureus curriculum victus aureus voveo bonus error cenaculum vicinus.
  Jessie Tromp  ;11/6/2023;2292.51;OTHER; deleo pecus aer attero viridis video. 
Dr. Micheal Reilly;3/3/2023;6725.37; HEALTH ;Voro quibusdam somniculosus.
Leroy Bogan I;2-2-2023;7910.98;travel;Voluptatibus ambitus terebro arx delego solium turbo.
Miss Marian Kulas;18/1/2023; 7192.07 ;OTHER;Cibo cimentarius denuo conitor.
Candace Powlowski;1-4-2023; 3618.27 ;Office;Comprehendo auditor desipio tabernus.
Dr. Marc Wehner;2023-02-19;9510.32;Health;Cognomen pax ut caritas cicuta atrocitas creator appositus.
GENE ORTIZ DVM;1-20-2023;482,79;OFFICE;Creator exercitationem animi vitiosus dolore succedo.
Brandon Tromp;2023-08-11;4526.99;Food; Creator cognatus teneo ventito speciosus speciosus cogito. 
  Sonia Grant  ;6-3-2023;6037.50; Travel ; vero occaecati tersus abbas subvenio turba via degenero. 
Heidi Boyle;9-19-2023;7212.82;office;Adhaero solitudo deludo valens fuga uterque.
  LAWRENCE STREICH  ;2023-07-22; 3252.78 ;TRAVEL; AGNOSCO TOTUS CONTURBO SAEPE BELLUM. 
mrs. janice price;2023-05-30;3346,27; OTHER ;repudiandae venia validus.
Dr. Diane Funk;10-4-2023;5344.21; Office ; Acceptus tenus beatae autem civitas paulatim eum. 
  Dave Dickinson II  ;6-4-2023;5314.02;Travel; Subseco sono abscido. 
Ethel Breitenberg;13/6/2023;3066.11;Other;sollers delectatio urbanus clam tergum dolores.
Arturo Kessler;8-19-2023; 2028.56 ;Other;arma adulatio velociter soleo auctus sumptus.
James Larkin;4/10/2023;6711.82;other;causa usus viriliter sperno ipsum aspernatur culpa.
sonia kirlin;15/8/2023;8568,88;Travel;truculenter callide quia vallum tum validus defluo.
Lynne Hand;2023-04-20;2540.83;Other;Ullus demoror valeo.
  Marcos Bruen  ;2023-11-24;4834,71;Travel;VOLUPTATIBUS AUDACIA DENUO TRICESIMUS.
  DR. ARTURO HAND  ;11-21-2023;6196,20;Other;VELIT VENTOSUS VILIS AMO COPIA.
allison reilly;2023-08-06;920.67;Other;Color ter ciminatio tempora ademptio cibus defleo.
  Angela Turcotte  ;29/5/2023;5982,91;Food;creptio solvo attero volutabrum cunabula sub facere utilis.
Tasha Boyer;2023-09-27;5241,46; HEALTH ;Validus suggero volaticus campana basium.
Andrew Botsford Sr.;4/6/2023; 7981,57 ;Other;altus arguo clarus velociter abeo sollicito tui accusator.
Samuel Shields I;1-13-2023;7380.40; Other ;Tardus abundans tener crustulum vito.
Mrs. Geneva Fisher;6-25-2023;218,97; Office ; DENEGO CURRUS PERFERENDIS VERITAS CURTO AESTUS IN ADSIDUE ARBITRO AESTUS. 
  Mrs. Kristy Nikolaus IV  ;2023-10-28;2002.09;Other; TERGUM ADVENIO TABELLA SOLIUM ALIENUS TAMEN SOLEO CRUENTUS. 
Deborah McKenzie;2023-07-02;2364,38;Office; Stella corrigo abundans sapiente abduco denego virtus. 
gail davis md;21/1/2023;9217.26; Travel ; Inventore delicate thymbra damnatio abstergo temporibus amicitia. 
